ModelName,Brand,Price,Power(kwh),Mileage(km),
Revolt RV400,Revolt,124000,3.24,150,
Matter Aera,Matter,173000,5,125,
Ultraviolette F77,Ultraviolette,380000,7.1,307,
Tork Kratos,Tork,168000,4,180,
Oben Rorr,Oben,102000,4.4,200,
Odysse Electric Evoqis,Odysse,171000,4.32,80,
Komaki Ranger,Komaki,185000,3.744,200,
One Electric Motorcycles Kridn,One,135000,3,110,
Joy e-bike Monster,Joy,110000,1.656,75,
Atumobile Atum Version 1.0,Atumobile,69999,1.248,100,
Hop Oxo,Hop,164000,3.75,150,
Kabira Mobility KM 3000,Kabira,122000,4,120,
Rowwet Trono,Rowwet,180000,2.88,100,
Birla V6,Birla,159000,3.24,203,
Birla DMS,Birla,162000,3.24,203,
Birla JF,Birla,162000,3.24,203,
Birla DMG,Birla,236000,3.24,200,
Birla A 1-4,Birla,159000,3.24,203,
Earth Energy EV Evolve Z,Earth,130000,6.912,95,
Earth Energy EV Evolve R,Earth,142000,4.025,110,
Komaki MX3,Komaki,95000,2.17,85,
