ModelName,Brand,Type,Price,Power(kwh),Mileage(km)
Ola S1,Ola,Scooter,"129,000.00",3.00,128.00
TVS iQube Electric,TVS,Scooter,"161,000.00",3.04,100.00
Ather 450X,Ather,Scooter,"146,000.00",3.70,165.00
Ola S1 Pro,Ola,Scooter,"139,000.00",4.00,181.00
Simple One,Simple,Scooter,"145,000.00",5.00,212.00
Bajaj Chetak,Bajaj,Scooter,"124,000.00",3.04,90.00
Vida V1,Vida,Scooter,"125,000.00",3.44,143.00
Yulu Wynn,Yulu,Scooter,"55,555.00",0.98,140.00
Ola S1 Air,Ola,Scooter,"99,999.00",3.00,101.00
Hero Electric Optima,Hero,Scooter,"67,190.00",3.00,140.00
Bounce Infinity E1,Bounce,Scooter,"64,299.00",1.90,85.00
Okinawa PraisePro,Okinawa,Scooter,"99,645.00",2.00,88.00
Ampere Magnus EX,Ampere,Scooter,"71,999.00",2.28,121.00
Kinetic Green Zoom,Kinetic,Scooter,"75,100.00",1.32,100.00
Ozotec Flio,Ozotec,Scooter,"113,000.00",3.00,100.00
Kinetic Green Zing,Kinetic,Scooter,"71,500.00",1.32,100.00
AMO Electric Jaunty-3W,AMO,Scooter,"62,964.00",1.56,75.00
River Indie,River,Scooter,"125,000.00",4.00,120.00
Avon E Plus,Avon,Scooter,"25,000.00",0.58,50.00
Ujaas eZy,Ujaas,Scooter,"31,880.00",1.25,60.00
Ather 450S,Ather,Scooter,"129,000.00",3.00,90.00
Avera Retrosa,Avera,Scooter,"88,900.00",2.40,140.00
Ujaas eGo LA,Ujaas,Scooter,"34,880.00",1.25,75.00
Okinawa iPraise+,Okinawa,Scooter,"145,000.00",3.30,139.00
Enigma Ambier,Enigma,Scooter,"45,000.00",3.60,70.00
Okinawa R30,Okinawa,Scooter,"61,998.00",1.25,60.00
PURE EV Epluto 7G,PURE,Scooter,"86,999.00",3.00,90.00
Hero Electric NYX,Hero,Scooter,"73,590.00",2.58,130.00
Raftaar Bumblebee,Raftaar,Scooter,"88,000.00",1.92,100.00
BattRE Electric LoEV,BattRE,Scooter,"68,900.00",1.20,60.00
Kinetic Green Flex,Kinetic,Scooter,"118,000.00",3.10,120.00
Komaki XGT KM,Komaki,Scooter,"42,500.00",1.33,130.00
Lohia Oma Star,Lohia,Scooter,"41,444.00",0.96,60.00
ADMS TTX,ADMS,Scooter,"115,000.00",2.16,100.00
NIJ Automotive Accelero R14,NIJ,Scooter,"49,731.00",1.92,180.00
Komaki Flora,Komaki,Scooter,"78,999.00",1.72,75.00
HCD India NPS Cargo,HCD,Scooter,"54,500.00",3.36,70.00
Hero Electric Photon,Hero,Scooter,"86,391.00",1.44,60.00
Okinawa Ridge,Okinawa,Scooter,"84,606.00",3.12,84.00
Okinawa Lite,Okinawa,Scooter,"66,993.00",1.25,60.00
