ModelName,Brand,Price,Power(kwh),Mileage(km),,,,,,,,,,,,,,
Ola S1,Ola,129000,3,128,,,,,,,,,,,,,,
TVS iQube Electric,TVS,161000,3.04,100,,,,,,,,,,,,,,
Ather 450X,Ather,146000,3.7,165,,,,,,,,,,,,,,
Ola S1 Pro,Ola,139000,4,181,,,,,,,,,,,,,,
Simple One,Simple,145000,5,212,,,,,,,,,,,,,,
Bajaj Chetak,Bajaj,124000,3.04416,90,,,,,,,,,,,,,,
Vida V1,Vida,125000,3.44,143,,,,,,,,,,,,,,
Yulu Wynn,Yulu,55555,0.9843,140,,,,,,,,,,,,,,
Ola S1 Air,Ola,99999,3,101,,,,,,,,,,,,,,
Hero Electric Optima,Hero,67190,3,140,,,,,,,,,,,,,,
Bounce Infinity E1,Bounce,64299,1.9,85,,,,,,,,,,,,,,
Okinawa PraisePro,Okinawa,99645,2,88,,,,,,,,,,,,,,
Ampere Magnus EX,Ampere,71999,2.28,121,,,,,,,,,,,,,,
Kinetic Green Zoom,Kinetic,75100,1.32,100,,,,,,,,,,,,,,
Ozotec Flio,Ozotec,113000,3,100,,,,,,,,,,,,,,
Kinetic Green Zing,Kinetic,71500,1.32,100,,,,,,,,,,,,,,
AMO Electric Jaunty-3W,AMO,62964,1.56,75,,,,,,,,,,,,,,
River Indie,River,125000,4,120,,,,,,,,,,,,,,
Avon E Plus,Avon,25000,0.576,50,,,,,,,,,,,,,,
Ujaas eZy,Ujaas,31880,1.248,60,,,,,,,,,,,,,,
Ather 450S,Ather,129000,3,90,,,,,,,,,,,,,,
Avera Retrosa,Avera,88900,2.4,140,,,,,,,,,,,,,,
Ujaas eGo LA,Ujaas,34880,1.248,75,,,,,,,,,,,,,,
Okinawa iPraise+,Okinawa,145000,3.3,139,,,,,,,,,,,,,,
Enigma Ambier,Enigma,45000,3.6,70,,,,,,,,,,,,,,
Okinawa R30,Okinawa,61998,1.25,60,,,,,,,,,,,,,,
PURE EV Epluto 7G,PURE,86999,3,90,,,,,,,,,,,,,,
Hero Electric NYX,Hero,73590,2.576,130,,,,,,,,,,,,,,
Raftaar Bumblebee,Raftaar,88000,1.92,100,,,,,,,,,,,,,,
BattRE Electric LoEV,BattRE,68900,1.2,60,,,,,,,,,,,,,,
Kinetic Green Flex,Kinetic,118000,3.1,120,,,,,,,,,,,,,,
Komaki XGT KM,Komaki,42500,1.326,130,,,,,,,,,,,,,,
Lohia Oma Star,Lohia,41444,0.96,60,,,,,,,,,,,,,,
ADMS TTX,ADMS,115000,2.16,100,,,,,,,,,,,,,,
NIJ Automotive Accelero R14,NIJ,49731,1.92,180,,,,,,,,,,,,,,
Komaki Flora,Komaki,78999,1.716,75,,,,,,,,,,,,,,
HCD India NPS Cargo,HCD,54500,3.36,70,,,,,,,,,,,,,,
Hero Electric Photon,Hero,86391,1.44,60,,,,,,,,,,,,,,
Okinawa Ridge,Okinawa,84606,3.12,84,,,,,,,,,,,,,,
Okinawa Lite,Okinawa,66993,1.25,60,,,,,,,,,,,,,,
Hero Electric Atria,Hero,77690,1.536,85,,,,,,,,,,,,,,
Okinawa Dual 100,Okinawa,119000,2.64,110,,,,,,,,,,,,,,
Okinawa Okhi90,Okinawa,186000,3.6,160,,,,,,,,,,,,,,
Avon E Star,Avon,60000,1.584,65,,,,,,,,,,,,,,
EeVe Wind,EeVe,59999,1.62,60,,,,,,,,,,,,,,
EeVe Xeniaa,EeVe,79999,1.56,70,,,,,,,,,,,,,,
PURE EV Epluto,PURE,71999,2.5,80,,,,,,,,,,,,,,
Techo Electra Emerge,Techo,73079,1.8,100,,,,,,,,,,,,,,
